"Año","U_Source","U_Destiny"
"1965","U. Pedagogica nal.","Washington u. In st louis",
"1965","U. Nal. De Col.","U. Of cincinnati",
"1966","U. De caldas","Claremont graduate u.",
"1966","U. Javeriana","Vanderbilt u.",
"1966","U. De los andes","Michigan state u.",
"1966","U. Del atlantico","U. Of texas at austin",
"1966","U. Nal. De Col.","Colorado state u.",
"1966","Fundacion u. De bogota - jorge tadeo lozano","Louisiana state u. And a&m college",
"1966","U. De los andes","Colorado state u.",
"1966","U. Del atlantico","U. Of kansas",
"1966","U. Del valle","U. Of wisconsin - madison",
"1966","U. Pedagogica nal.","Iowa state u.",
"1966","U. Pontificia bolivariana","Fordham u.",
"1967","U. De caldas","Arizona state u.",
"1967","U. De los andes","Yale u.",
"1967","U. Nal. De Col.","Illinois institute of technology",
"1967","U. Nal. De Col.","Kansas state u.",
"1967","U. De los andes","Iowa state u.",
"1967","U. Del valle","Montana state u. - bozeman",
"1967","U. De los andes","U. Of illinois at urbana-champaign",
"1967","U. De los andes","U. Of north dakota",
"1967","U. De los andes","U. Of california - los angeles",
"1967","U. Del valle","Illinois institute of technology",
"1967","U. Javeriana","U. Of arizona",
"1967","U. De los andes","Illinois institute of technology",
"1967","U. Pontificia bolivariana","Columbia u. In the city of new york",
"1968","U. Javeriana","U. Of wisconsin - milwaukee",
"1968","U. Pedagogica nal.","Kansas state u.",
"1968","U. Javeriana","Texas a&m u.",
"1968","U. Nal. De Col.","U. Of california - los angeles",
"1968","U. Nal. De Col.","U. Of illinois at urbana-champaign",
"1968","U. De los andes","Rensselaer polytechnic institute",
"1968","Escuela naval de cadetes almirante padilla","Stevens institute of technology",
"1968","U. Nal. De Col.","Rensselaer polytechnic institute",
"1968","U. Pedagogica y tecnologica de Col. - uptc","U. Of puerto rico",
"1968","U. Nal. De Col.","Rutgers, the state u. Of new jersey",
"1969","U. Del valle","Stanford u.",
"1969","Colegio mayor de nuestra señora del rosario","Southern methodist u.",
"1969","U. Nal. De Col.","New york u.",
"1969","U. Javeriana","Stanford u.",
"1969","U. Javeriana","Michigan state u.",
"1969","U. De antioquia","Colorado state u.",
"1969","U. Nal. De Col.","U. Of south florida",
"1969","Instituto ibac","U. Of north carolina at chapel hill"
